id,inicio,fim,categoria,arquivo,algoritmo
7993,9,9,25,input-10k-50.txt,gulosa
5761,10,10,29,input-10k-50.txt,gulosa
4000,11,11,50,input-10k-50.txt,gulosa
6669,12,12,37,input-10k-50.txt,gulosa
5734,13,13,13,input-10k-50.txt,gulosa
9513,14,14,16,input-10k-50.txt,gulosa
6637,15,15,11,input-10k-50.txt,gulosa
6872,16,17,8,input-10k-50.txt,gulosa
4733,17,17,12,input-10k-50.txt,gulosa
8971,18,18,6,input-10k-50.txt,gulosa
1231,19,19,27,input-10k-50.txt,gulosa
3179,20,21,50,input-10k-50.txt,gulosa
9719,21,21,16,input-10k-50.txt,gulosa
8309,22,22,47,input-10k-50.txt,gulosa
4522,23,23,11,input-10k-50.txt,gulosa
1668,0,0,4,input-10k-75.txt,gulosa
4553,1,1,14,input-10k-75.txt,gulosa
8276,2,2,2,input-10k-75.txt,gulosa
5008,3,3,2,input-10k-75.txt,gulosa
9058,4,5,63,input-10k-75.txt,gulosa
9129,5,5,75,input-10k-75.txt,gulosa
465,6,6,51,input-10k-75.txt,gulosa
7646,7,7,26,input-10k-75.txt,gulosa
2660,8,8,50,input-10k-75.txt,gulosa
3078,9,9,24,input-10k-75.txt,gulosa
9946,10,10,3,input-10k-75.txt,gulosa
9999,11,11,40,input-10k-75.txt,gulosa
153,12,12,24,input-10k-75.txt,gulosa
9871,13,13,21,input-10k-75.txt,gulosa
2737,14,14,39,input-10k-75.txt,gulosa
4846,15,15,7,input-10k-75.txt,gulosa
8258,16,16,54,input-10k-75.txt,gulosa
8021,17,17,38,input-10k-75.txt,gulosa
3017,18,19,51,input-10k-75.txt,gulosa
9842,19,19,27,input-10k-75.txt,gulosa
9721,20,20,50,input-10k-75.txt,gulosa
678,21,21,73,input-10k-75.txt,gulosa
1995,22,22,74,input-10k-75.txt,gulosa
1020,23,23,73,input-10k-75.txt,gulosa
4688,0,0,60,input-10k-100.txt,gulosa
3891,1,1,44,input-10k-100.txt,gulosa
8145,2,2,83,input-10k-100.txt,gulosa
3237,3,3,76,input-10k-100.txt,gulosa
3103,4,4,28,input-10k-100.txt,gulosa
7586,5,5,38,input-10k-100.txt,gulosa
2185,6,6,30,input-10k-100.txt,gulosa
3971,7,8,98,input-10k-100.txt,gulosa
9720,8,8,19,input-10k-100.txt,gulosa
359,9,9,34,input-10k-100.txt,gulosa
6304,10,10,9,input-10k-100.txt,gulosa
3751,11,11,16,input-10k-100.txt,gulosa
5062,12,12,64,input-10k-100.txt,gulosa
4771,13,13,67,input-10k-100.txt,gulosa
7104,14,15,43,input-10k-100.txt,gulosa
9137,15,15,63,input-10k-100.txt,gulosa
3961,16,16,24,input-10k-100.txt,gulosa
8986,17,17,36,input-10k-100.txt,gulosa
3780,18,18,43,input-10k-100.txt,gulosa
2787,19,19,100,input-10k-100.txt,gulosa
8776,20,20,18,input-10k-100.txt,gulosa
7154,21,21,96,input-10k-100.txt,gulosa
6240,22,22,79,input-10k-100.txt,gulosa
4517,23,23,43,input-10k-100.txt,gulosa
870,0,1,1,input-10k-1.txt,aleatoriedade
3583,0,1,2,input-10k-2.txt,aleatoriedade
4997,1,2,1,input-10k-2.txt,aleatoriedade
1773,0,1,2,input-10k-3.txt,aleatoriedade
3297,1,2,3,input-10k-3.txt,aleatoriedade
4236,2,3,1,input-10k-3.txt,aleatoriedade
4693,3,4,1,input-10k-3.txt,aleatoriedade
5996,4,5,3,input-10k-3.txt,aleatoriedade
2777,5,6,3,input-10k-3.txt,aleatoriedade
3152,0,1,2,input-10k-4.txt,aleatoriedade
6153,1,2,3,input-10k-4.txt,aleatoriedade
955,2,3,2,input-10k-4.txt,aleatoriedade
3139,3,4,1,input-10k-4.txt,aleatoriedade
1117,4,5,4,input-10k-4.txt,aleatoriedade
5632,5,6,2,input-10k-4.txt,aleatoriedade
7697,6,7,1,input-10k-4.txt,aleatoriedade
8702,8,8,3,input-10k-4.txt,aleatoriedade
3305,9,9,3,input-10k-4.txt,aleatoriedade
8732,10,10,1,input-10k-4.txt,aleatoriedade
2293,11,11,1,input-10k-4.txt,aleatoriedade
4513,0,1,2,input-10k-5.txt,aleatoriedade
1430,1,2,3,input-10k-5.txt,aleatoriedade
361,2,3,1,input-10k-5.txt,aleatoriedade
7534,3,4,4,input-10k-5.txt,aleatoriedade
7398,4,5,1,input-10k-5.txt,aleatoriedade
4139,5,6,1,input-10k-5.txt,aleatoriedade
6459,6,7,2,input-10k-5.txt,aleatoriedade
6395,8,8,2,input-10k-5.txt,aleatoriedade
8963,9,9,5,input-10k-5.txt,aleatoriedade
1960,10,10,1,input-10k-5.txt,aleatoriedade
4881,11,11,5,input-10k-5.txt,aleatoriedade
4891,12,13,4,input-10k-5.txt,aleatoriedade
6861,13,14,5,input-10k-5.txt,aleatoriedade
4622,14,15,5,input-10k-5.txt,aleatoriedade
426,15,16,5,input-10k-5.txt,aleatoriedade
7021,0,1,7,input-10k-10.txt,aleatoriedade
2188,1,2,5,input-10k-10.txt,aleatoriedade
8203,2,3,3,input-10k-10.txt,aleatoriedade
3756,3,4,10,input-10k-10.txt,aleatoriedade
3229,4,5,5,input-10k-10.txt,aleatoriedade
141,5,6,6,input-10k-10.txt,aleatoriedade
7878,6,7,3,input-10k-10.txt,aleatoriedade
295,7,8,7,input-10k-10.txt,aleatoriedade
6370,8,9,6,input-10k-10.txt,aleatoriedade
5143,9,10,6,input-10k-10.txt,aleatoriedade
8918,10,11,2,input-10k-10.txt,aleatoriedade
4582,11,12,2,input-10k-10.txt,aleatoriedade
5027,12,13,5,input-10k-10.txt,aleatoriedade
9076,14,14,8,input-10k-10.txt,aleatoriedade
9305,15,15,10,input-10k-10.txt,aleatoriedade
305,16,16,8,input-10k-10.txt,aleatoriedade
5666,17,17,2,input-10k-10.txt,aleatoriedade
3701,18,18,5,input-10k-10.txt,aleatoriedade
8142,19,19,9,input-10k-10.txt,aleatoriedade
4997,20,20,7,input-10k-10.txt,aleatoriedade
7692,21,21,2,input-10k-10.txt,aleatoriedade
2345,22,22,10,input-10k-10.txt,aleatoriedade
1362,23,23,7,input-10k-10.txt,aleatoriedade
3961,0,1,8,input-10k-20.txt,aleatoriedade
8692,1,2,11,input-10k-20.txt,aleatoriedade
7569,2,3,17,input-10k-20.txt,aleatoriedade
8440,3,4,6,input-10k-20.txt,aleatoriedade
6894,4,5,10,input-10k-20.txt,aleatoriedade
8785,5,6,3,input-10k-20.txt,aleatoriedade
2545,6,7,3,input-10k-20.txt,aleatoriedade
4542,7,8,17,input-10k-20.txt,aleatoriedade
9524,8,9,14,input-10k-20.txt,aleatoriedade
5290,9,10,9,input-10k-20.txt,aleatoriedade
6627,10,11,17,input-10k-20.txt,aleatoriedade
3465,11,12,12,input-10k-20.txt,aleatoriedade
1883,13,13,14,input-10k-20.txt,aleatoriedade
8730,14,14,9,input-10k-20.txt,aleatoriedade
4149,15,15,20,input-10k-20.txt,aleatoriedade
5409,16,16,5,input-10k-20.txt,aleatoriedade
232,17,17,5,input-10k-20.txt,aleatoriedade
2528,18,18,18,input-10k-20.txt,aleatoriedade
2745,19,19,17,input-10k-20.txt,aleatoriedade
4431,20,20,19,input-10k-20.txt,aleatoriedade
5699,21,21,18,input-10k-20.txt,aleatoriedade
22,22,22,2,input-10k-20.txt,aleatoriedade
7801,23,23,1,input-10k-20.txt,aleatoriedade
9823,0,1,7,input-10k-30.txt,aleatoriedade
8817,1,2,22,input-10k-30.txt,aleatoriedade
6586,2,3,19,input-10k-30.txt,aleatoriedade
9097,3,4,12,input-10k-30.txt,aleatoriedade
2220,4,5,22,input-10k-30.txt,aleatoriedade
9797,5,6,5,input-10k-30.txt,aleatoriedade
811,6,7,24,input-10k-30.txt,aleatoriedade
2539,7,8,25,input-10k-30.txt,aleatoriedade
3497,8,9,13,input-10k-30.txt,aleatoriedade
469,9,10,26,input-10k-30.txt,aleatoriedade
8957,10,11,12,input-10k-30.txt,aleatoriedade
5858,11,12,21,input-10k-30.txt,aleatoriedade
4776,13,13,13,input-10k-30.txt,aleatoriedade
6843,14,14,20,input-10k-30.txt,aleatoriedade
2580,15,15,1,input-10k-30.txt,aleatoriedade
